prezzo,m2,via,quartiere
€ 2.700/mese,153m²,"Via Piemonte ,",LUDOVISI
€ 1.300/mese,40m²,Piazza de' Ricci,REGOLA
€ 900/mese,120m²,Via Casilina,FINOCCHIO
€ 950/mese,60m²,Viale Isacco Newton,COLLI PORTUENSI
€ 3.650/mese,224m²,Viale della Musica,EUR
€ 650/mese,35m²,Via Roberto Lepetit,TOR TRE TESTE
€ 900/mese,22m²,Vicolo del Vicario,AURELIO
€ 650/mese,40m²,Via dei Ciclamini,CENTOCELLE
€ 1.250/mese,101m²,Via Costantino Lazzari,COLLATINO
€ 700/mese,70m²,Via Fratel Mario Adani,VILLAGGIO FALCONE
€ 2.000/mese,120m²,Piazzale Prenestino,PIGNETO
€ 1.200/mese,120m²,Via Clarice Tartufari,CASTEL DI DECIMA
€ 2.500/mese,136m²,Via Germanico,PRATI
€ 1.000/mese,75m²,Viale della Bella Villa,ALESSANDRINO
€ 1.200/mese,72m²,Via dei Canneti,LA SAPIENZA UNIVERSITA'
€ 850/mese,55m²,Via Francesco Filelfo,MONTE MARIO
€ 550/mese,44m²,Via Ignazio Scimonelli,ROMANINA
€ 1.500/mese,55m²,"Via Vittorio Veneto, 0",LUDOVISI
€ 320/mese,70m²,Via Monte Petrella,TUFELLO
€ 620/mese,35m²,Via dei Levii,QUADRARETTO
€ 750/mese,55m²,via flaminia,COLLINA FLEMING
€ 890/mese,53m²,Via Giano della Bella,ITALIA
€ 650/mese,35m²,Via Roberto Lepetit,TOR TRE TESTE
€ 800/mese,68m²,Via Vincenzo Tomassini,TORREVECCHIA ALTA
€ 3.500/mese,114m²,Via Aurelia,GREGORIO XI
€ 400/mese,25m²,Via Cassia,TOMBA DI NERONE
€ 1.350/mese,75m²,"Via Pietro Cartoni, 9",MONTEVERDE NUOVO
€ 160/mese,4m²,Via Vespasiano,PRATI
€ 700/mese,70m²,Via Ballao,ROCCA CENCIA
€ 575/mese,40m²,Via Selvaforte,CASETTA MATTEI
€ 730/mese,65m²,Via Castellinaldo,PIANA DEL SOLE
€ 1.300/mese,50m²,"Corso di Francia,182",VIGNA CLARA
€ 900/mese,85m²,Via dei Berio,TOR TRE TESTE
€ 750/mese,65m²,via Archelao di Mileto 45,CASAL PALOCCO
€ 650/mese,44m²,Via degli Irlandesi,PORTUENSE
€ 800/mese,45m²,Via Simone Mosca,TORREVECCHIA ALTA
€ 550/mese,60m²,Via Giardinello,PRATO FIORITO
€ 720/mese,52m²,Via Arturo Graf,TALENTI
€ 750/mese,30m²,Viale Antonio Ciamarra,CINECITTA' EST
€ 1.900/mese,148m²,Via Torbole,CORTINA D'AMPEZZO
€ 1.200/mese,45m²,Via dei Campani,S. LORENZO
€ 2.900/mese,220m²,Via Antonio Bertoloni,PARIOLI
€ 400/mese,25m²,Via Cassia,TOMBA DI NERONE
€ 2.950/mese,228m²,Via Cassia,TOMBA DI NERONE
€ 900/mese,50m²,Via Paolo Zacchia,LA SAPIENZA UNIVERSITA'
€ 1.500/mese,100m²,Via Salvatore Pincherle,VALCO S. PAOLO
€ 700/mese,70m²,Via Giardinello,PRATO FIORITO
€ 750/mese,28m²,Via dei Sabelli,S. LORENZO
€ 1.600/mese,130m²,Via Principe Amedeo,ESQUILINO
€ 650/mese,40m²,Via di Tor Vergata,NUOVA TOR VERGATA
€ 1.100/mese,80m²,Via delle Benedettine,MONTE MARIO
€ 400/mese,18m²,Via Gradoli,TOMBA DI NERONE
€ 650/mese,46m²,Via Gioacchino Russo,NUOVA PONTE DI NONA
€ 3.700/mese,328m²,Via Ettore Regalia,BUFALOTTA
€ 750/mese,70m²,Via Bono,SPALLETTE
€ 35.000/mese,982m²,Passeggiata del Gianicolo,TRASTEVERE
€ 900/mese,60m²,"Via Giulio Tarra, 4",COLLI PORTUENSI
€ 600/mese,45m²,Via dei Gelsi,CENTOCELLE
€ 1.100/mese,70m²,Vicolo di vigna fabbri,APPIO LATINO - ALBERONE
€ 590/mese,50m²,Via di Casal Bianco,SETTECAMINI
€ 1.000/mese,95m²,Via Filippo De Grenet,SPINACETO
€ 2.000/mese,85m²,Piazza Navona,PARIONE
€ 3.200/mese,190m²,Via Monte Pertica,DELLA VITTORIA
€ 800/mese,75m²,Via Licia,APPIO S. GIOVANNI
€ 900/mese,55m²,Via Giuseppe Silla,GIUSTINIANA
€ 550/mese,60m²,Via Giardinello,PRATO FIORITO
€ 750/mese,35m²,Via Vallombrosa,CORTINA D'AMPEZZO
€ 820/mese,50m²,Via Giorgio Petrocchi,CINQUINA
€ 620/mese,40m²,Via Raffaele Stasi,DUE PONTI
€ 1.400/mese,65m²,TEODORO MONTICELLI,PARIOLI
€ 550/mese,38m²,Via Alessandro Bausani,CASAL SELCE
€ 875/mese,25m²,"Via Degli Orti d'Alibert,4",TRASTEVERE
€ 1.190/mese,92m²,Via Tortona,APPIO S. GIOVANNI
€ 4.500/mese,200m²,Piazza Camillo Benso di Cavour,PRATI
€ 2.500/mese,180m²,Via Duccio di Buoninsegna,OTTAVO COLLE
€ 430/mese,30m²,Viale Prassilla,CASAL PALOCCO
€ 900/mese,46m²,Via di Casal Boccone,CASAL BOCCONE
€ 750/mese,32m²,Viale Antonio Ciamarra,CINECITTA' EST
€ 750/mese,70m²,Via Sorelle Tetrazzini,SERPENTARA
€ 400/mese,25m²,Via Cassia,TOMBA DI NERONE
€ 750/mese,28m²,Via dei Sabelli,S. LORENZO
€ 6.500/mese,415m²,Piazzale Numa Pompilio,CELIO
€ 1.100/mese,84m²,Piazza Federico Marcello Lante,TOR MARANCIA
€ 500/mese,25m²,Via di Pietralata,PIETRALATA
€ 990/mese,75m²,Via Guglielmo Sirleto,BATTISTINI
€ 1.400/mese,60m²,"Via Marmorata,169",TESTACCIO
€ 2.100/mese,87m²,Via Urbana,MONTI
€ 1.450/mese,161m²,Via dei Laterani,MONTI
€ 1.100/mese,170m²,Via Monsignor Pini,MADONNETTA
€ 650/mese,40m²,Via di Tor Vergata,NUOVA TOR VERGATA
€ 650/mese,35m²,Via Fanfulla da Lodi,PIGNETO
€ 2.000/mese,107m²,Piazza delle Muse,PARIOLI
€ 800/mese,50m²,Via dei Marsi,S. LORENZO
€ 400/mese,25m²,Via Cassia,TOMBA DI NERONE
€ 400/mese,25m²,Via Francesco Pericoli,DUE PONTI
€ 770/mese,93m²,via Carlo Giuseppe Bertero,CASAL DEI PAZZI
€ 1.000/mese,102m²,Via Giovanni Treccani,TORRE GAIA
€ 770/mese,70m²,Via Salemi,GROTTE CELONI
€ 2.000/mese,130m²,Via Alessandro Malladra,MONTI TIBURTINI
€ 1.700/mese,120m²,Via Eustachio Manfredi,PARIOLI
€ 800/mese,60m²,Via Roberto Sanseverino,PRENESTINO LABICANO
€ 1.100/mese,110m²,Via Gabriello Chiabrera,SAN PAOLO
€ 850/mese,28m²,Via Balilla,ESQUILINO
€ 700/mese,70m²,Via Giardinello,PRATO FIORITO
€ 800/mese,65m²,Via dei Laterensi,QUADRARETTO
€ 1.185/mese,40m²,"Via Amedeo Avogadro,104",MARCONI
€ 2.200/mese,93m²,Via Teodoro Pateras,TRASTEVERE
€ 980/mese,67m²,Via dei Casali Molinario,QUARTO PEPERINO
€ 1.300/mese,111m²,Via Gino Bonichi,ACILIA SUD
€ 2.300/mese,70m²,via DI PANICO,PONTE
€ 1.900/mese,108m²,via PIER LUIGI SAGRAMOSO,FARNESINA
€ 1.500/mese,142m²,Circonvallazione Appia,APPIO LATINO - ALBERONE
€ 2.600/mese,150m²,Via Copenaghen,CASTELLACCIO
€ 1.600/mese,120m²,Via Cernaia,CASTRO PRETORIO
€ 750/mese,60m²,Via Careggine,MONTE DELLE CAPRE
€ 780/mese,36m²,Via di Casal Boccone,CASAL BOCCONE
€ 500/mese,40m²,Via Lodovico Bertonio,DRAGONA
€ 850/mese,40m²,Via Alfredo Baccarini,APPIO LATINO - ALBERONE
€ 750/mese,62m²,Via del Fontanile Nuovo,OTTAVIA
€ 750/mese,70m²,Viale dei Promontori,OSTIA LEVANTE
€ 400/mese,35m²,Via San Biagio Platani,VALLE FIORITA
€ 1.400/mese,90m²,Via di Grotte d'Arcaccio,TENUTA S. ALESSIO
€ 1.350/mese,89m²,Via Andrea del Castagno,TINTORETTO
€ 1.200/mese,90m²,"Via Val di Lanzo, 113",PRATI FISCALI
€ 1.900/mese,110m²,Via Domenico Chelini,PARIOLI
€ 1.100/mese,70m²,Viale di Castel Porziano,INFERNETTO
€ 1.150/mese,180m²,Via Dolzago,PIETRA PERTUSA
€ 1.300/mese,70m²,Piazza Bologna,ITALIA
€ 2.500/mese,140m²,Via Sicilia,LUDOVISI
€ 4.800/mese,110m²,Piazza Colonna,COLONNA
€ 1.500/mese,90m²,Via Michele di Lando,ITALIA
€ 1.450/mese,90m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
€ 650/mese,40m²,Via Angelo Motta,TOR VERGATA
€ 590/mese,30m²,Via Colleverde,SETTECAMINI
€ 9.300/mese,300m²,Via del Quirinale,MONTI
€ 800/mese,88m²,Via Federico Delpino,CENTOCELLE
€ 650/mese,40m²,Via Livio Salinatore,DON BOSCO
€ 650/mese,46m²,Via Gioacchino Russo,NUOVA PONTE DI NONA
€ 850/mese,25m²,Viale Egeo,EUR
€ 660/mese,30m²,Via Lucio Mario Perpetuo,QUADRARETTO
€ 900/mese,35m²,Via Belluno,ITALIA
€ 600/mese,45m²,Via La Nebbia,TORREVECCHIA ALTA
€ 1.000/mese,70m²,Via Massimi,BALDUINA
€ 2.600/mese,170m²,Via Valdagno,COLLINA FLEMING
€ 400/mese,16m²,Via Antonio Serra,COLLINA FLEMING
€ 1.500/mese,75m²,Via Luigi Luciani,PARIOLI
€ 840/mese,69m²,Via Tortona,APPIO S. GIOVANNI
€ 1.500/mese,70m²,Viale Bruno Buozzi,BELLE ARTI
€ 900/mese,61m²,Via Vitaliano Brancati,FERRATELLA
€ 990/mese,118m²,Via Giuseppe di Vittorio,COLLATINO
€ 700/mese,90m²,Via Borghesiana,BORGHESIANA
€ 1.185/mese,50m²,"Via Amedeo Avogadro,104",MARCONI
€ 1.900/mese,180m²,Via Alcide De Gasperi,CAVALLEGGERI
€ 700/mese,34m²,Via Manlio Torquato,FURIO CAMILLO
€ 950/mese,62m²,Via Brennero,MONTE SACRO
€ 1.900/mese,120m²,Via Cola di Rienzo,PRATI
€ 850/mese,129m²,Via Camillo Miola,SAPONARA
€ 1.200/mese,96m²,Viale Somalia,VESCOVIO
€ 630/mese,50m²,Via dell'Isola Farnese,LA STORTA
€ 700/mese,75m²,Viale Goffredo Parise,SETTECAMINI
€ 500/mese,25m²,Via Prenestina,PRENESTINO LABICANO
€ 850/mese,30m²,Via dei Chiavari,S. EUSTACHIO
€ 850/mese,53m²,Via Alberto Cadlolo,MEDAGLIE D'ORO
€ 780/mese,65m²,Viale Ugo Monaco,FONTE LAURENTINA
€ 580/mese,60m²,Via Rodolfo Orler,MADONNETTA
€ 900/mese,22m²,Vicolo del Vicario,AURELIO
€ 850/mese,55m²,Via Francesco Filelfo,MONTE MARIO
€ 590/mese,30m²,Via Colleverde,SETTECAMINI
€ 1.150/mese,83m²,Via dei Giornalisti,IGEA
€ 650/mese,30m²,Via Carlo Francesco Bellingeri,TORREVECCHIA ALTA
€ 1.200/mese,60m²,"P.za Annibaliano, 4",AFRICANO
€ 1.700/mese,50m²,Via Cansacchi,OSTIA PONENTE
€ 430/mese,28m²,Via Ostiense,OSTIENSE
€ 2.500/mese,134m²,Via Ermete Novelli,PARIOLI
€ 800/mese,75m²,Via Isidoro del Lungo,TALENTI
€ 720/mese,38m²,Via di Prato Rotondo,NUOVO SALARIO
€ 800/mese,70m²,Via Porretta Terme,VITINIA
€ 600/mese,45m²,Via della Pineta Sacchetti,TORREVECCHIA ALTA
€ 400/mese,25m²,Via Cassia,TOMBA DI NERONE
€ 1.250/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
€ 1.800/mese,65m²,Via della Lungara,TRASTEVERE
€ 890/mese,66m²,via Otricoli,MANDRIONE
€ 1.900/mese,153m²,Via Pietro Mascagni,VESCOVIO
€ 1.200/mese,120m²,Via Lula,PRATO FIORITO
€ 850/mese,50m²,Via Poggio Verde,CASETTA MATTEI
€ 800/mese,80m²,Via del Fosso dell'Acqua Mariana,MORENA
€ 1.250/mese,37m²,Via Vallombrosa,CORTINA D'AMPEZZO
€ 870/mese,74m²,via dei lampugnani,VILLINI
€ 1.400/mese,90m²,Viale Adriatico,MONTE SACRO
€ 600/mese,35m²,Via Igea,IGEA
€ 1.200/mese,115m²,Via cairano,NUOVA GORDIANI
€ 750/mese,50m²,Via di Torrevecchia,TORREVECCHIA ALTA
€ 250/mese,50m²,"viale del Sommergibile,",OSTIA PONENTE
€ 760/mese,50m²,Via della Giustiniana,PRIMA PORTA
€ 850/mese,90m²,Largo dell'Olgiata,OLGIATA
€ 1.500/mese,90m²,Via Gregorio VII,AURELIO
€ 1.300/mese,90m²,Viale Avignone,CASTELLACCIO
€ 1.100/mese,50m²,Viale dei Colli Portuensi,COLLI PORTUENSI
€ 1.185/mese,40m²,"Via Amedeo Avogadro,104",MARCONI
€ 1.450/mese,110m²,Via Bernardo Barbiellini Amidei,TRIONFALE
€ 2.500/mese,98m²,piazza Giuliano della Rovere,OSTIA LEVANTE
€ 470/mese,45m²,Via di Marco Simone,FORNO CASALE
€ 2.100/mese,120m²,Via Nino Bixio,ESQUILINO
€ 1.670/mese,60m²,Via Frangipane,MONTI
€ 1.550/mese,130m²,Via Vito Volterra,VALCO S. PAOLO
€ 1.300/mese,78m²,Via Roccaporena,COLLINA FLEMING
€ 1.600/mese,110m²,Via Giuseppe Vaccari,FARNESINA
€ 1.300/mese,80m²,Via Collazia,APPIO S. GIOVANNI
€ 800/mese,60m²,Via Calimno,PRATI FISCALI
€ 650/mese,40m²,Via dei Ciclamini,CENTOCELLE
€ 850/mese,30m²,Via Archimede,PARIOLI
€ 1.150/mese,75m²,Via della Grande Muraglia,TORRINO
€ 700/mese,70m²,Viale Luigi Schiavonetti,ROMANINA
€ 1.100/mese,100m²,Viale Ronchi,VILLA GORDIANI
€ 600/mese,50m²,Via del Rosmarino,ACILIA NORD
€ 1.400/mese,78m²,Via Federico Rosazza,PORTA PORTESE
€ 2.200/mese,70m²,Vicolo del Cedro,TRASTEVERE
€ 900/mese,55m²,Via degli Ausoni,S. LORENZO
€ 1.100/mese,70m²,Via del Lido di Castelporziano,CASTEL FUSANO
€ 400/mese,35m²,Via di Torre Gaia,TORRE GAIA
€ 2.500/mese,85m²,Via Giambattista Vico,FLAMINIO
€ 3.800/mese,100m²,Corso Vittorio Emanuele II,PARIONE
€ 600/mese,50m²,Via Francesco Piccolo,ACILIA NORD
€ 1.250/mese,128m²,Via Cassia,TOMBA DI NERONE
€ 650/mese,15m²,Via Germanico,PRATI
€ 700/mese,70m²,Via Giardinello,PRATO FIORITO
€ 1.450/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
€ 4.000/mese,140m²,Viale Marco Polo,MIANI
€ 1.300/mese,75m²,Via Vallombrosa,CORTINA D'AMPEZZO
€ 680/mese,50m²,Via San Marco Argentano,TRIGORIA ALTA
€ 1.235/mese,50m²,"Via Amedeo Avogadro,104",MARCONI
€ 950/mese,100m²,Via di Giardinetti,GIARDINETTI
€ 700/mese,60m²,viale prassilla,CASAL PALOCCO
€ 770/mese,65m²,Via Aragona,DUE LEONI
€ 700/mese,70m²,Via Salvatore Denti di Piraino,OSTIA LEVANTE
€ 872/mese,45m²,Via Giana Anguissola,GROTTA PERFETTA
€ 940/mese,57m²,Via Camilla,FURIO CAMILLO
€ 900/mese,50m²,Via Paolo Zacchia,LA SAPIENZA UNIVERSITA'
€ 1.150/mese,83m²,Via Nicolò da Pistoia,GARBATELLA
€ 720/mese,38m²,Via Monte Amiata,NUOVO SALARIO
€ 1.500/mese,120m²,Via Leopoldo Serra,PORTA PORTESE
€ 1.300/mese,50m²,Viale Giorgio Ribotta,CASTELLACCIO
€ 600/mese,40m²,Via Carlo Zucchi,AURELIO
€ 4.500/mese,232m²,Piazza Stefano Jacini,VIGNA CLARA
€ 600/mese,30m²,Via Andrea Verga,TORREVECCHIA ALTA
€ 600/mese,30m²,Via Andrea Verga,TORREVECCHIA ALTA
€ 850/mese,46m²,Via Angelo Emo,EROI TRIONFALE
€ 1.100/mese,55m²,Via Morlupo,COLLINA FLEMING
€ 1.100/mese,85m²,Via Enea,FURIO CAMILLO
€ 1.150/mese,110m²,Via Ernesto Basile,TOR DE' CENCI
€ 900/mese,117m²,Via delle Baleari,OSTIA PONENTE
€ 750/mese,35m²,Viale Egeo,EUR
€ 750/mese,65m²,Via del Campo,ALESSANDRINO
€ 500/mese,40m²,Via Agira,FINOCCHIO
€ 1.000/mese,75m²,Viale della Bella Villa,ALESSANDRINO
€ 1.800/mese,220m²,via bronte,BORGHESIANA
€ 550/mese,45m²,Via Italo Piccagli,GIUSTINIANA
€ 850/mese,70m²,Piazzale del Caravaggio,TOR MARANCIA
€ 650/mese,45m²,Via di Tor Vergata,NUOVA TOR VERGATA
€ 830/mese,35m²,Via Boncompagni,LUDOVISI
€ 2.500/mese,180m²,Via Duccio di Buoninsegna,OTTAVO COLLE
€ 900/mese,110m²,Via Piero Foscari,NUOVO SALARIO
€ 2.100/mese,80m²,Via del Corso,CAMPO MARZIO
€ 590/mese,30m²,Via Colleverde,SETTECAMINI
€ 600/mese,30m²,Via Andrea Verga,TORREVECCHIA ALTA
€ 950/mese,60m²,Viale Isacco Newton,COLLI PORTUENSI
€ 1.300/mese,81m²,Via Vegezio,APPIANO
€ 950/mese,70m²,Via Giovanni Angelini,PORTUENSE
€ 650/mese,40m²,Via dei Ciclamini,CENTOCELLE
€ 650/mese,46m²,Viale Francesco Caltagirone,NUOVA PONTE DI NONA
€ 700/mese,50m²,Via Andrea Barbato,TORRESINA
€ 950/mese,40m²,Corso di Francia,VIGNA CLARA
€ 1.300/mese,70m²,Piazza Bologna,ITALIA
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 1.800/mese,80m²,Via del Pantheon,S. EUSTACHIO
€ 850/mese,90m²,Via del Fontanile Tuscolano,VERMICINO
€ 470/mese,45m²,Via di Marco Simone,FORNO CASALE
€ 1.100/mese,84m²,Via Cipriano Facchinetti,CASAL BRUCIATO
€ 4.800/mese,420m²,Via della Mendola,CORTINA D'AMPEZZO
€ 900/mese,70m²,Via Alcide Pedretti,OSTIA PONENTE
€ 3.700/mese,50m²,"Via della Mercede,21",COLONNA
€ 650/mese,62m²,Via del Fontanile Nuovo,OTTAVIA
€ 850/mese,50m²,Via della Caffarelletta,APPIO LATINO - ALBERONE
€ 1.200/mese,75m²,Via Casilina,FINOCCHIO
€ 550/mese,60m²,Via Giardinello,PRATO FIORITO
€ 2.600/mese,105m²,Via di Monte del Gallo,AURELIO
€ 800/mese,28m²,Via dei Sabelli,S. LORENZO
€ 1.300/mese,80m²,Via Luigi Bodio,VIGNA CLARA
€ 590/mese,25m²,Largo Preneste,PRENESTINO LABICANO
€ 1.000/mese,110m²,Via di Sant'Alessandro,CASAL MONASTERO
€ 930/mese,50m²,Via Paolo Zacchia,LA SAPIENZA UNIVERSITA'
€ 900/mese,130m²,Via delle Capannelle,VILLAGGIO APPIO
€ 600/mese,45m²,Via della Pineta Sacchetti,TORREVECCHIA ALTA
€ 750/mese,68m²,Viale dei Promontori,OSTIA LEVANTE
€ 950/mese,60m²,Piazza di Santa Maria Ausiliatrice,FURIO CAMILLO
€ 900/mese,22m²,Vicolo del Vicario,AURELIO
€ 1.400/mese,65m²,"via sallustio bandini ,",VIGNA CLARA
€ 1.150/mese,81m²,Via Amerigo Vespucci,TESTACCIO
€ 3.500/mese,60m²,Piazza Anco Marzio,OSTIA LEVANTE
€ 700/mese,70m²,Via Fratel Mario Adani,VILLAGGIO FALCONE
€ 900/mese,50m²,Via Alessandro Pieri,MARCONI
€ 750/mese,68m²,Viale dei Promontori,OSTIA LEVANTE
€ 800/mese,42m²,Via Amedeo Crivellucci,APPIO LATINO - ALBERONE
€ 550/mese,30m²,Via di Tor Vergata,NUOVA TOR VERGATA
€ 850/mese,28m²,Via Balilla,ESQUILINO
€ 680/mese,50m²,Via San Marco Argentano,TRIGORIA ALTA
€ 900/mese,70m²,Via Giovanni Battista Riccioli,LA MARRANELLA
€ 1.300/mese,85m²,Via Antonio Serra,COLLINA FLEMING
€ 900/mese,75m²,Via Italo Montemezzi,INFERNETTO
€ 850/mese,28m²,Via Balilla,ESQUILINO
€ 650/mese,44m²,Via Secondo Campini,NUOVA PONTE DI NONA
€ 1.400/mese,117m²,Via Giuseppe Allievo,MONTE MARIO
€ 900/mese,80m²,Via Edoardo Jenner,COLLI PORTUENSI
€ 4.300/mese,211m²,Via Misurina,CORTINA D'AMPEZZO
€ 500/mese,26m²,Via Giuseppe Antonio Borgese,INFERNETTO
€ 925/mese,77m²,Via Gabriello Chiabrera,SAN PAOLO
€ 650/mese,40m²,Via dei Ciclamini,CENTOCELLE
€ 650/mese,50m²,Via Padre Reginaldo Giuliani,GARBATELLA
€ 1.750/mese,75m²,Piazza Di San Cosimato,TRASTEVERE
€ 3.200/mese,235m²,Via Fogliano,VERBANO
€ 650/mese,46m²,Viale Francesco Caltagirone,NUOVA PONTE DI NONA
€ 6.800/mese,330m²,Via Sebastiano Conca,PARIOLI
€ 2.100/mese,95m²,Via Boncompagni,LUDOVISI
€ 1.100/mese,80m²,Via delle Benedettine,MONTE MARIO
€ 800/mese,55m²,Via Ernesto Calindri,PORTA DI ROMA
€ 590/mese,45m²,Via Casilina,FINOCCHIO
€ 400/mese,25m²,Via Cassia,TOMBA DI NERONE
€ 700/mese,50m²,Via Reno,TRIESTE
€ 750/mese,28m²,Via dei Sabelli,S. LORENZO
€ 640/mese,40m²,Via Giuseppe Gagliani Caputo,TECNOPOLO
€ 850/mese,30m²,Via Dire Daua,AFRICANO
€ 950/mese,40m²,Via Belluno,ITALIA
€ 780/mese,65m²,Viale Ugo Monaco,FONTE LAURENTINA
€ 650/mese,35m²,via dei gelsi  119,CENTOCELLE
€ 1.215/mese,50m²,"Via Amedeo Avogadro,104",MARCONI
€ 470/mese,45m²,Via di Marco Simone,FORNO CASALE
€ 3.650/mese,180m²,Via Amiterno,APPIO S. GIOVANNI
€ 700/mese,35m²,Via Manlio Torquato,FURIO CAMILLO
€ 782/mese,40m²,Via Ardea,APPIO S. GIOVANNI
€ 650/mese,50m²,Via Padre Reginaldo Giuliani,GARBATELLA
€ 650/mese,70m²,Via L'Aquila,PIGNETO
€ 1.600/mese,80m²,Via Baldo degli Ubaldi,BALDO DEGLI UBALDI
€ 1.100/mese,50m²,Via dei Duchi di Castro,PONTE MILVIO
€ 650/mese,40m²,Via dei Ciclamini,CENTOCELLE
€ 800/mese,62m²,Via della Balduina,BALDUINA
€ 1.500/mese,80m²,Via Annibale Maria di Francia,VILLA SPADA
€ 850/mese,68m²,Piazzale del Caravaggio,TOR MARANCIA
€ 1.100/mese,51m²,Via Dei Prati Fiscali Vecchia,NUOVO SALARIO
€ 430/mese,35m²,Via Angelo Zottoli,ACILIA SUD
€ 430/mese,28m²,Via di Acilia,ACILIA SUD
€ 2.000/mese,75m²,Viale Parioli,PARIOLI
€ 750/mese,68m²,Viale dei Promontori,OSTIA LEVANTE
€ 1.200/mese,80m²,Via Ermanno Ferrero,BAGNOLETTO
€ 850/mese,40m²,"Via Amedeo Cencelli,59",TOR PIGNATTARA
€ 1.100/mese,83m²,Via valle scrivia,PRATI FISCALI
€ 5.800/mese,250m²,Via Nemea,FARNESINA
€ 2.800/mese,245m²,Largo dell'Olgiata,OLGIATA
€ 2.000/mese,130m²,Via Giovanni Antonio Plana,PARIOLI
€ 470/mese,45m²,Via di Marco Simone,FORNO CASALE
€ 1.500/mese,90m²,Via Costanzo Casana,OSTIA PONENTE
€ 1.300/mese,125m²,Via Gesualdo Bufalino,BUFALOTTA
€ 980/mese,67m²,Via dei Casali Molinario,QUARTO PEPERINO
€ 3.600/mese,160m²,Via Carlo Linneo,BELLE ARTI
€ 950/mese,90m²,Via Agerola,SCHIZZANELLO
€ 900/mese,50m²,Via Paolo Zacchia,LA SAPIENZA UNIVERSITA'
€ 700/mese,45m²,Via Pietro Rovetti,TOR PIGNATTARA
€ 750/mese,50m²,Via Formia,VILLINI SANTA MARIA
€ 950/mese,70m²,Via Edoardo Jenner,COLLI PORTUENSI
€ 600/mese,50m²,Via Lorenzo Delleani,TOR SAPIENZA
€ 750/mese,35m²,via Giovanni Battista De Rossi,NOMENTANO
€ 1.300/mese,75m²,Via Aurelia,GREGORIO XI
€ 1.850/mese,133m²,Via Barnaba Tortolini,PARIOLI
€ 680/mese,50m²,Via San Marco Argentano,TRIGORIA ALTA
€ 600/mese,45m²,Via della Pineta Sacchetti,TORREVECCHIA ALTA
€ 900/mese,80m²,Via Federico Galeotti,BOCCEA
€ 800/mese,60m²,Via della Caffarelletta,APPIO LATINO - ALBERONE
€ 1.200/mese,96m²,Viale del Lido,OSTIA LEVANTE
€ 470/mese,45m²,Via di Marco Simone,FORNO CASALE
€ 330/mese,30m²,VIA CESARE BALBO,MONTI
€ 1.500/mese,77m²,Via dei Mille,CASTRO PRETORIO
€ 1.300/mese,120m²,Via degli Estensi,VILLINI
€ 590/mese,30m²,Via Colleverde,SETTECAMINI
€ 1.250/mese,55m²,Via Nicola Fabrizi,TRASTEVERE
€ 1.000/mese,100m²,Via Lucio Mariani,GREGNA S. ANDREA
€ 1.800/mese,85m²,Via del Pellegrino,PARIONE
€ 1.200/mese,60m²,Via Francesco Carletti,OSTIENSE
€ 550/mese,35m²,Via Enrico Theodoli,DUE PONTI
€ 2.000/mese,120m²,Via dei Colli della Farnesina,FARNESINA
€ 1.250/mese,85m²,Via dei Prati della Farnesina,FORO ITALICO
€ 980/mese,93m²,Viale degli Ammiragli,EROI TRIONFALE
€ 400/mese,40m²,Via Carezzano,S. RUFINA
€ 590/mese,25m²,Largo Preneste,PRENESTINO LABICANO
€ 990/mese,74m²,Via Capo Miseno,SACCO PASTORE
€ 2.800/mese,160m²,Via Nemea,FARNESINA
€ 640/mese,40m²,Via Giuseppe Gagliani Caputo,TECNOPOLO
€ 700/mese,70m²,Via Fratel Mario Adani,VILLAGGIO FALCONE
€ 1.000/mese,65m²,Via Portogruaro,TUSCOLANO
€ 3.200/mese,190m²,Via Monte Pertica,DELLA VITTORIA
€ 1.100/mese,122m²,Via Padre Massaruti,MADONNETTA
€ 680/mese,35m²,Via Monterosi,COLLINA FLEMING
€ 1.600/mese,85m²,Via Salento,ITALIA
€ 1.200/mese,40m²,Largo Febo,PONTE
€ 1.450/mese,110m²,Via Bernardo Barbiellini Amidei,TRIONFALE
€ 2.300/mese,55m²,Vicolo del Cedro,TRASTEVERE
€ 2.000/mese,106m²,Via Nemorense,VERBANO
€ 800/mese,63m²,Via del Ponte delle Sette Miglia,ROMANINA
€ 1.500/mese,103m²,Via di Vigna Stelluti,VIGNA CLARA
€ 1.600/mese,72m²,Via della Cisterna,TRASTEVERE
€ 750/mese,75m²,Via Trappeto,DUE LEONI
€ 800/mese,56m²,via Nicola Coviello,GREGORIO XI
€ 900/mese,60m²,Via Isili,SPALLETTE
€ 490/mese,25m²,Via Tuscolana,DON BOSCO
€ 1.450/mese,100m²,Via napoleone III,ESQUILINO
€ 550/mese,30m²,Via Enrico Theodoli,DUE PONTI
€ 626/mese,41m²,Via Salvatore Pincherle,VALCO S. PAOLO
€ 3.900/mese,270m²,Via Nemea,FARNESINA
€ 950/mese,110m²,Viale Fernando Santi,COLLI ANIENE
€ 700/mese,30m²,Via Basilio Puoti,MONTE MARIO
